Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.661	0.000000	0.000
FBtr0300738	2350	2172.139	0.182660	2.668
FBtr0300739	2172	1994.139	0.305471	4.097
FBtr0300737	2184	2006.139	0.215860	2.912
FBtr0300736	2338	2160.139	0.245708	3.570
FBtr0078628	2467	2289.139	0.256910	3.955
FBtr0300740	2479	2301.139	0.193535	2.995
FBtr0078627	2301	2123.139	0.317183	4.529
FBtr0300741	2313	2135.139	0.227994	3.274
FBtr0072762	889	711.436	61.065903	292.176
FBtr0346821	1270	1092.139	4.215495	30.963
FBtr0331460	900	722.435	2.117510	10.288
FBtr0303848	5005	4827.139	7.686570	249.535
FBtr0086122	1465	1287.139	0.462088	4.000
FBtr0335147	3125	2947.139	2.862606	56.738
FBtr0081459	3019	2841.139	21.773961	416.045
FBtr0305321	6523	6345.139	1.220806	52.095
FBtr0083716	5665	5487.139	21.188393	781.905
FBtr0078184	1305	1127.139	0.131921	1.000
FBtr0081691	765	587.524	0.000000	0.000
FBtr0085263	1228	1050.139	0.000000	0.000
FBtr0086342	492	314.675	0.000000	0.000
FBtr0086343	495	317.671	0.000000	0.000
FBtr0091847	1023	845.139	1.962253	11.153
FBtr0072393	1393	1215.139	81.763216	668.181
FBtr0343502	867	689.444	0.592178	2.746
FBtr0343753	3569	3391.139	3.170826	72.315
FBtr0433525	3725	3547.139	0.250520	5.976
FBtr0113895	961	783.401	14.494187	76.364
FBtr0345179	887	709.436	66.364760	316.636
FBtr0334135	4703	4525.139	0.327727	9.974
FBtr0334137	4561	4383.139	0.990695	29.204
FBtr0334141	5321	5143.139	0.225543	7.801
FBtr0334139	4203	4025.139	0.523843	14.181
FBtr0334140	5704	5526.139	0.202892	7.540
FBtr0344148	4894	4716.139	0.287234	9.110
FBtr0334142	5071	4893.139	0.257887	8.486
FBtr0334138	5563	5385.139	0.201260	7.289
FBtr0334136	3862	3684.139	1.154645	28.608
FBtr0085105	995	817.363	3.274519	18.000
FBtr0346720	2745	2567.139	0.000000	0.000
FBtr0076089	442	264.715	0.000000	0.000
FBtr0087500	1417	1239.139	12.359682	103.000
FBtr0073094	1694	1516.139	12.956138	132.107
FBtr0073093	1577	1399.139	82.351443	774.893
FBtr0343515	1092	914.139	0.889338	5.468
FBtr0072451	975	797.378	11.847364	63.532
FBtr0071607	2252	2074.139	2.724180	38.000
FBtr0081516	4704	4526.139	0.197112	6.000
FBtr0300749	931	753.426	2.660375	13.480
FBtr0346532	1185	1007.139	0.179947	1.219
