bowtie2 -q --phred33 --sensitive --dpad 0 --gbar 99999999 --mp 1,1 --np 1 --score-min L,0,-0.1 -I 1 -X 1000 --no-mixed --no-discordant -p 2 -k 200 -x /home/galaxy/galaxy/database/files/004/dataset_4970_files/drosophila_rsem -1 uncomp_pair1.fastq -2 uncomp_pair2.fastq | samtools view -S -b -o rsem_output.temp/rsem_output.bam -

rsem-parse-alignments /home/galaxy/galaxy/database/files/004/dataset_4970_files/drosophila_rsem rsem_output.temp/rsem_output rsem_output.stat/rsem_output rsem_output.temp/rsem_output.bam 3 -tag XM
Parsed 1000000 entries
Parsed 2000000 entries
Parsed 3000000 entries
Parsed 4000000 entries
Parsed 5000000 entries
Parsed 6000000 entries
Parsed 7000000 entries
Parsed 8000000 entries
Parsed 9000000 entries
Parsed 10000000 entries
Parsed 11000000 entries
Parsed 12000000 entries
Parsed 13000000 entries
Parsed 14000000 entries
Parsed 15000000 entries
Parsed 16000000 entries
Parsed 17000000 entries
Parsed 18000000 entries
Parsed 19000000 entries
Parsed 20000000 entries
Parsed 21000000 entries
Parsed 22000000 entries
Parsed 23000000 entries
Parsed 24000000 entries
Parsed 25000000 entries
Parsed 26000000 entries
Parsed 27000000 entries
Parsed 28000000 entries
Parsed 29000000 entries
Parsed 30000000 entries
Parsed 31000000 entries
Done!

rsem-build-read-index 32 1 0 rsem_output.temp/rsem_output_alignable_1.fq rsem_output.temp/rsem_output_alignable_2.fq
FIN 1000000
FIN 2000000
FIN 3000000
FIN 4000000
FIN 5000000
FIN 6000000
FIN 7000000
FIN 8000000
Build Index rsem_output.temp/rsem_output_alignable_1.fq is Done!
FIN 1000000
FIN 2000000
FIN 3000000
FIN 4000000
FIN 5000000
FIN 6000000
FIN 7000000
FIN 8000000
Build Index rsem_output.temp/rsem_output_alignable_2.fq is Done!

rsem-run-em /home/galaxy/galaxy/database/files/004/dataset_4970_files/drosophila_rsem 3 rsem_output rsem_output.temp/rsem_output rsem_output.stat/rsem_output -p 2
Refs.loadRefs finished!
DAT 8000000 reads left
DAT 7000000 reads left
DAT 6000000 reads left
DAT 5000000 reads left
Thread 0 : N = 4145283, NHit = 14207718
DAT 4000000 reads left
DAT 3000000 reads left
DAT 2000000 reads left
DAT 1000000 reads left
Thread 1 : N = 4160408, NHit = 14207717
EM_init finished!
1000000 READS PROCESSED
2000000 READS PROCESSED
3000000 READS PROCESSED
estimateFromReads, N0 finished.
1000000 READS PROCESSED
2000000 READS PROCESSED
3000000 READS PROCESSED
4000000 READS PROCESSED
5000000 READS PROCESSED
6000000 READS PROCESSED
7000000 READS PROCESSED
8000000 READS PROCESSED
estimateFromReads, N1 finished.
ROUND = 1, SUM = 11396433, bChange = 178.995, totNum = 30815
ROUND = 2, SUM = 11396433, bChange = 0.999808, totNum = 18500
ROUND = 3, SUM = 11396433, bChange = 0.925747, totNum = 18234
ROUND = 4, SUM = 11396433, bChange = 0.927466, totNum = 18099
ROUND = 5, SUM = 11396433, bChange = 0.666297, totNum = 17934
ROUND = 6, SUM = 11396433, bChange = 0.656217, totNum = 17840
ROUND = 7, SUM = 11396433, bChange = 0.633437, totNum = 17697
ROUND = 8, SUM = 11396433.0000001, bChange = 0.597369, totNum = 17512
ROUND = 9, SUM = 11396433, bChange = 0.551936, totNum = 17337
ROUND = 10, SUM = 11396433, bChange = 0.472194, totNum = 17194
ROUND = 11, SUM = 11396433, bChange = 0.447194, totNum = 16968
ROUND = 12, SUM = 11396433, bChange = 0.448624, totNum = 16786
ROUND = 13, SUM = 11396433, bChange = 0.391677, totNum = 16553
ROUND = 14, SUM = 11396433, bChange = 0.386406, totNum = 16378
ROUND = 15, SUM = 11396433, bChange = 0.381389, totNum = 16140
ROUND = 16, SUM = 11396433, bChange = 0.355303, totNum = 15911
ROUND = 17, SUM = 11396433, bChange = 0.347687, totNum = 15672
ROUND = 18, SUM = 11396433, bChange = 0.347729, totNum = 15423
ROUND = 19, SUM = 11396433, bChange = 0.347756, totNum = 15197
ROUND = 20, SUM = 11396433, bChange = 0.347774, totNum = 14991
ROUND = 21, SUM = 11396433, bChange = 0.347786, totNum = 14765
ROUND = 22, SUM = 11396432.9999999, bChange = 0.347793, totNum = 14532
ROUND = 23, SUM = 11396433, bChange = 0.347798, totNum = 14290
ROUND = 24, SUM = 11396433, bChange = 0.347801, totNum = 14045
ROUND = 25, SUM = 11396433, bChange = 0.259994, totNum = 13844
ROUND = 26, SUM = 11396433, bChange = 0.260278, totNum = 13645
ROUND = 27, SUM = 11396433, bChange = 0.260544, totNum = 13441
ROUND = 28, SUM = 11396433, bChange = 0.260793, totNum = 13227
ROUND = 29, SUM = 11396432.9999999, bChange = 0.261026, totNum = 13010
ROUND = 30, SUM = 11396433, bChange = 0.261244, totNum = 12787
ROUND = 31, SUM = 11396433, bChange = 0.261447, totNum = 12609
ROUND = 32, SUM = 11396433, bChange = 0.261635, totNum = 12395
ROUND = 33, SUM = 11396433, bChange = 0.261809, totNum = 12204
ROUND = 34, SUM = 11396433, bChange = 0.261969, totNum = 12009
ROUND = 35, SUM = 11396433, bChange = 0.213827, totNum = 11809
ROUND = 36, SUM = 11396433, bChange = 0.213836, totNum = 11629
ROUND = 37, SUM = 11396433, bChange = 0.188565, totNum = 11444
ROUND = 38, SUM = 11396433, bChange = 0.188577, totNum = 11248
